Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items
4f706757-8653-4196-b9ad-143604ac14ce,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$728",8,17,20,""
fac97eae-6f63-40c2-b903-02b0f03fe97b,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$599",6,13,20,""
1f3be0ff-ae33-444a-b811-c815e60d7ec6,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$2,123",17,31,20,""
79c895c7-77a8-41c9-937c-804b6af26665,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$634",6,14,20,""
a0d992f2-c7b5-4f07-aef5-800ede0495c5,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$385",6,9,20,""
ce978f9c-948d-4ba4-ab5c-c67d6efb86df,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$487",2,10,20,""
20045485-b767-46e3-b3d2-1a494fef1067,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$738",5,15,20,""
2f1d259c-b119-429d-99ab-514a0af1ef32,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$777",4,14,20,""
7c038c69-c390-40a9-9cab-90b03fff5988,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$1,542",12,34,20,""
26c3a4e2-909d-4776-a3aa-0f0ceb687bc8,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$649",7,15,20,""
135b7d86-52a1-4b37-8ed2-a47e49153a1b,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$205",2,4,20,""
ba72a16e-7f6d-4f86-8d7c-e550385b52cc,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$719",6,12,20,""
9a0b0645-8f70-4fa8-bd26-294ac7976f47,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$423",1,8,20,""
479ce0b0-c5fc-497f-8d81-e5e225eef0d7,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$261",3,6,20,""
bb0ae1fc-e4cd-468e-aa20-9b1cd906d13c,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$823",7,18,20,""
cb1003f1-d347-4ade-a6e4-834ddb8ca1f5,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$527",3,13,20,""
e2f43dca-7075-48de-97c0-db0f5dba854e,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$90",2,2,20,""
de8f136b-cdf7-4264-9c01-d577b85690fe,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$513",1,7,20,""
bd328ebf-2d07-4365-b36b-9496de76f75a,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$203",3,5,20,""
c28a226d-e8dd-49a9-a8bf-08be8b3f0610,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$116",2,3,20,""
113544a3-9a76-409c-88af-e38e7545fc5b,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$155",2,3,20,""
48e84fab-69f8-4813-986d-dc6cce16da2f,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$672",8,14,20,""
47e8c14d-3f24-41ef-a7f4-01e08a5c623b,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$47",1,1,20,""
babc532c-658f-44af-8b2e-74ab8e4ab424,"Spend 15, Save 3",CANCELED,"Sep 19, 2025","Oct 7, 2025",1,"All customers","$0",0,0,0,""
9d6c972e-8041-45a0-9791-8b834164640e,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$437",6,10,20,""
519e6ae6-7fdf-4e48-9943-7a0351f363a6,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$195",1,5,20,""
5ef785ff-951a-44c0-bbe7-7885cc4a1258,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$92",1,2,20,""
e36cdf90-c08d-4aaa-94f3-6eb2bac49187,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$1,040",7,24,20,""
fdb0d0a3-80cc-4c6f-a549-714ba840e6e9,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$38",0,1,20,""
2be3ef8a-5dba-4a92-b04a-c880a75783fb,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$209",3,3,20,""
