Business ID,Business name,Store ID,Store name,Timestamp local time,DoorDash transaction ID,DoorDash order ID,POS order ID,Transaction type,Channel,Description,Subtotal,Tax (subtotal),Customer fees,Tax (customer fees),Commission,Merchant fees,Tax (merchant fees),Marketing fees,Customer discounts,DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Payout date,Payout ID
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-02 12:11:33.135203,16005179487,3F729052,e06ba0fa-7258-4cea-8a5d-fff956c82c38,Order,Marketplace,NULL,26.00,1.80,0.00,0.00,-2.93,0.00,0.00,0.00,-6.50,0.00,0.00,0.00,0.00,18.37,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 22:00:23.852031,16075528953,DADA0955,066dc753-6e6d-448a-93b9-98a2f6e4247e,Order,Storefront,NULL,41.00,3.74,0.00,0.00,0.00,-1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.14,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 20:27:23.853249,16075055931,5D4823AE,e3bfa7c5-f922-454a-aba4-fbc0349b8387,Order,Marketplace,NULL,27.00,2.46,0.00,0.00,-4.05,0.00,0.00,-3.13,0.00,0.00,0.00,0.00,0.00,22.28,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 18:58:14.19443,16074371595,BA895AEF,c38997a7-a7fa-487e-aff5-81d63e5d4a93,Order,Marketplace,NULL,46.00,4.20,0.00,0.00,-2.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.44,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 18:36:03.820865,16074150552,FBAF03BB,93e4ff9f-65c2-4c88-a148-cdc55d195091,Order,Marketplace,NULL,97.00,7.94,0.00,0.00,-13.05,0.00,0.00,-0.99,-10.00,0.00,0.00,0.00,0.00,80.90,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 17:53:28.732256,16073639911,3F498A18,7532774b-f744-45b2-a85f-cdcd9a018de7,Order,Marketplace,NULL,42.00,3.38,0.00,0.00,-5.55,0.00,0.00,-0.99,-5.00,0.00,0.00,0.00,0.00,33.84,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 16:33:56.240837,16072477952,0B9D0481,5949eb9c-05e8-47ea-a211-9f117391e6a2,Order,Marketplace,NULL,72.00,4.93,0.00,0.00,-8.10,0.00,0.00,-12.87,-18.00,0.00,0.00,0.00,0.00,37.96,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 16:30:21.25423,16072417911,82CF4D0A,cbce4500-c71f-4ad0-9df9-6fd9d9a356d1,Order,Marketplace,NULL,101.00,9.22,0.00,0.00,-15.15,0.00,0.00,-10.20,0.00,0.00,0.00,0.00,0.00,84.87,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 16:07:54.324898,16072057631,1A6AD302,85bc0f01-19f2-429c-aba6-775915796dda,Order,Marketplace,NULL,52.00,3.10,0.00,0.00,-5.10,0.00,0.00,-0.99,-18.00,0.00,0.00,0.00,0.00,31.01,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 15:52:35.446967,16071809561,BE5DA03F,21ff4f73-1b01-4a9a-a2fe-7e96c5dfcdc3,Order,Marketplace,NULL,24.00,2.19,0.00,0.00,-3.60,0.00,0.00,-7.98,0.00,0.00,0.00,0.00,0.00,14.61,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 15:38:58.190414,16071599697,CE9FB434,2772642b-9055-4db2-be08-e4fe723b4126,Order,Marketplace,NULL,42.00,3.19,0.00,0.00,-5.25,0.00,0.00,-12.32,-7.00,0.00,0.00,0.00,0.00,20.62,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 15:30:17.987895,16071461810,DF09E908,3add4f5a-11bd-411b-84f4-22ed31bda600,Order,Marketplace,NULL,63.00,5.11,0.00,0.00,-8.40,0.00,0.00,-10.24,-7.00,0.00,0.00,0.00,0.00,42.47,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 14:26:03.167043,16070554228,27068978,df23c77c-dcd8-4481-a94e-3824c6b81237,Order,Marketplace,NULL,210.00,18.52,0.00,0.00,-30.45,0.00,0.00,-10.59,-7.00,0.00,0.00,0.00,0.00,180.48,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 14:25:23.725248,16070546140,51D49BAD,51647807-de4d-4768-9ac1-3a7ad9b67819,Order,Marketplace,NULL,133.00,7.76,0.00,0.00,-12.75,0.00,0.00,-10.59,-48.00,0.00,0.00,0.00,0.00,69.42,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 13:04:33.317497,16069579779,42F370CD,9a676841-cdc2-48d7-bf9a-5f80049147a4,Order,Marketplace,NULL,49.00,3.83,0.00,0.00,-6.30,0.00,0.00,-0.99,-7.00,0.00,0.00,0.00,0.00,38.54,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 12:50:23.344794,16069420192,DE039197,a1363d63-9dca-41f9-8747-8a77a55de681,Order,Marketplace,NULL,36.00,1.64,0.00,0.00,-2.70,0.00,0.00,-9.87,-18.00,0.00,0.00,0.00,0.00,7.07,NULL,NULL
340740,Teleferic Barcelona,749143,Telefèric Barcelona (Palo Alto),2026-02-08 12:42:31.919091,16069335414,22CCE13F,dcae3c64-35ed-4004-be57-14e0d3653283,Order,Storefront,NULL,19.00,1.73,0.00,0.00,0.00,-3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.66,NULL,NULL
